Month,US,NE,MW,S,W
2013-01-01,12.218890554722623,-1.8204645323289474,20.43386983904827,10.025273799494522,15.040106951871648
2013-02-01,7.374631268436585,-2.599009900990088,2.1459227467811175,12.489728841413303,4.415584415584419
2013-03-01,7.215743440233235,4.09683426443202,-3.385240352065,8.934426229508196,10.032154340836009
2013-04-01,5.139186295503217,4.060606060606058,-0.2631578947368423,3.943217665615145,10.55444221776888
2013-05-01,8.834446919079436,9.90291262135924,3.988803358992298,9.466019417475746,-1.3614703880190617
2013-06-01,8.561151079136707,18.22338340953626,3.4090909090908963,3.9634146341463623,7.09366391184573
2013-07-01,2.06327372764787,-0.1773049645390007,-3.2236842105263257,0.6042296072507389,5.256241787122213
2013-08-01,3.9078855547801847,7.909967845659178,-1.2295081967213126,2.3048327137546405,2.4041585445094023
2013-09-01,5.017182130584189,7.412140575079879,0.19480519480520217,3.897058823529407,4.687500000000004
2013-10-01,0.849673202614387,7.25261216963739,-7.710417892878163,4.908424908424905,-6.642728904847396
2013-11-01,0.3968253968254119,8.125819134993439,-10.936555891238674,7.101024890190352,-10.996563573883158
2013-12-01,2.5641025641025665,6.858262573481384,-10.94027202838556,9.243697478991578,-4.242781378903939
2014-01-01,2.1376085504342184,9.0153452685422,-13.596746077861708,9.800918836140896,-6.449738524113874
2014-02-01,3.2967032967032996,2.5412960609911073,8.333333333333316,5.916727538349157,-7.52487562189056
2014-03-01,4.962610469068673,1.4907573047108011,7.077785564120548,7.298720842738899,-1.8702513150204447
2014-04-01,3.8696537678207696,-2.1549213744903857,-1.912928759894468,9.559939301972676,-1.8731117824773362
2014-05-01,6.13915416098227,-2.355712603062428,4.172274562584122,7.169253510716906,17.5983436853002
2014-06-01,-0.39761431411530845,-8.674033149171272,2.8846153846154023,4.692082111436954,-0.45016077170417335
2014-07-01,0.7412398921832966,-3.4339846062759056,-1.2916383412644397,6.45645645645648,-0.5617977528089685
2014-08-01,5.574210879785073,5.721096543504163,5.809128630705399,6.031976744186061,7.4873096446700576
2014-09-01,0.9816753926701652,2.558001189767991,-4.666234607906693,2.26468506723284,4.664179104477609
2014-10-01,0.38885288399222323,4.813753581661882,-8.992346938775524,3.282122905027944,1.6666666666666539
2014-11-01,0.9881422924901268,12.181818181818187,3.934871099050192,-1.2303485987696525,-3.4105534105534208
2014-12-01,1.381578947368415,15.097799511002453,-1.0624169986719798,4.895104895104899,-11.507692307692299
2015-01-01,1.1118378024852782,8.328445747800581,0.5379959650302777,0.627615062761499,0.6211180124223608
2015-02-01,3.058510638297875,10.65675340768277,-0.5817711700064575,2.6896551724138034,3.0262273032952205
2015-03-01,0.06476683937823122,6.462984723854282,-3.206806282722509,3.0154277699859855,-5.717689100655143
2015-04-01,0.5882352941176548,8.57142857142858,-4.371217215870877,0.9695290858725925,-0.4310344827586279
2015-05-01,-4.691516709511565,9.831121833534366,-11.046511627906993,-4.1379310344827624,-8.86150234741783
2015-06-01,0.7984031936127604,7.199032062915897,-7.343124165554077,1.6806722689075486,1.8087855297157496
2015-07-01,-0.5351170568562026,1.7780502759043482,-4.752066115702476,1.2693935119887019,-1.8204645323289474
2015-08-01,-9.16030534351143,-2.3675310033821892,-9.869281045751634,-9.321453050034263,-12.219598583234951
2015-09-01,-8.295528191834096,4.930394431554535,-9.58531611148877,-8.442906574394456,-15.032679738562098
2015-10-01,-7.68237572627503,-1.585565882996168,-11.492641906096702,-10.141987829614612,-3.089533417402266
2015-11-01,-3.1963470319634797,-3.6196650459211206,-14.556135770234965,-4.9134948096885775,9.593604263824126
2015-12-01,-6.748864373783264,-7.9660116834837975,-9.261744966442961,-11.866666666666676,6.884561891515976
2016-01-01,-7.567917205692108,-6.009745533297238,-10.769230769230772,-8.870408870408877,-5.740740740740753
2016-02-01,-4.64516129032257,-0.615901455767084,-10.793237971391427,-10.54398925453326,6.984334203655367
2016-03-01,-5.307443365695783,-8.664459161147892,-5.273833671399599,-9.053778080326767,2.0846493998736384
2016-04-01,-2.7940220922677157,-3.1798245614035117,-3.656821378340353,-5.349794238683147,1.0513296227582019
2016-05-01,0.40458530006743126,-5.546403075233387,-0.7262164124909068,-2.3741007194244546,8.177720540888588
2016-06-01,-7.062706270627047,-2.8781038374717802,-4.899135446685883,-10.055096418732775,-6.281725888324872
2016-07-01,-2.824478816408865,4.156626506024106,-4.699927693420097,-7.729805013927576,2.046035805626586
2016-08-01,-0.14005602240897924,-8.487297921478062,-1.2327773749093638,-1.6628873771731094,7.464694014794904
2016-09-01,5.088339222614829,-2.4875621890547346,0.0,-0.22675736961452103,21.818181818181824
2016-10-01,5.034965034965024,0.5000000000000066,5.70071258907364,-3.5364936042137063,17.95705920624595
2016-11-01,-0.4043126684635972,-4.932735426008973,-5.347593582887704,-4.58515283842796,10.577507598784191
2016-12-01,1.8093249826026618,0.1154068090017312,-1.7011834319526562,-1.664145234493177,10.605074821080029
2017-01-01,-0.7697690692792091,5.472350230414745,-5.097451274362823,0.07604562737641749,-1.702685003274396
2017-02-01,-0.3382949932341079,4.338028169014082,-2.478134110787158,-0.9009009009008851,0.061012812690658315
2017-03-01,-0.06835269993165495,8.277945619335334,-6.423982869379021,-2.3952095808383094,3.650990099009911
2017-04-01,-3.475935828877008,1.4722536806341902,-3.6496350364963535,-5.507246376811584,-1.9583843329253516
2017-05-01,0.6715916722632645,2.1511627906976702,-1.2435991221653186,1.1790714812085656,4.523809523809528
2017-06-01,6.321022727272709,7.902382335851257,0.9848484848484942,0.5359877488514637,20.176032498307382
